experiment,group,metric,mean,std
h6_perevent,sg_per_event,rtt_bucket_within_cos_wv,0.9607151746749878,0.00908367207364444
h6_perevent,sg_per_event,rtt_bucket_within_cos_vocab,0.015279135853052139,0.04679616325333361
h6_perevent,sg_per_account,pooled_within_cos_wv,0.45867556687957245,0.01107933149352297
h6_perevent,sg_per_account,os_within_cos_wv,0.2845012903213501,0.017056591337386625
h6_perevent,sg_per_account,os_within_cos_vocab,-0.07286932840943336,0.018959248551851528
h6_perevent,sg_per_account,browser_within_cos_wv,0.42301897406578065,0.041250579170752755
h6_perevent,sg_per_account,browser_within_cos_vocab,-0.07737809866666794,0.007904081327225039
h6_perevent,sg_per_account,device_type_within_cos_wv,0.3710993766784668,0.0711686932977967
h6_perevent,sg_per_account,device_type_within_cos_vocab,-0.31712127327919004,0.04853361277617025
h6_perevent,sg_per_account,country_within_cos_wv,0.4912950754165649,0.011280084186770074
h6_perevent,sg_per_account,country_within_cos_vocab,-0.04438207894563675,0.0033780651967988164
h6_perevent,sg_per_account,region_within_cos_wv,0.41296279430389404,0.008057211099807287
h6_perevent,sg_per_account,region_within_cos_vocab,-0.0013424720149487258,0.0030836370783720716
h6_perevent,sg_per_account,asn_bucket_within_cos_wv,0.49086626768112185,0.018044953487012086
h6_perevent,sg_per_account,asn_bucket_within_cos_vocab,-0.018711004033684732,0.0008459419828265949
h6_perevent,sg_per_account,rtt_bucket_within_cos_wv,0.7855259299278259,0.02571074901011966
h6_perevent,sg_per_account,rtt_bucket_within_cos_vocab,-0.20308573246002198,0.013796091330073437
h6_perevent,cbow_per_event,pooled_within_cos_wv,0.9035296040999661,0.0032689380558295848
h6_perevent,cbow_per_event,os_within_cos_wv,0.5721381187438965,0.04570827322880846
h6_perevent,cbow_per_event,os_within_cos_vocab,0.20387633442878722,0.013841687351023696
h6_perevent,cbow_per_event,browser_within_cos_wv,0.8788429141044617,0.015386542272217595
h6_perevent,cbow_per_event,browser_within_cos_vocab,-0.00364012373611331,0.008640907986543626
h6_perevent,cbow_per_event,device_type_within_cos_wv,0.7245152831077576,0.047153518281954056
h6_perevent,cbow_per_event,device_type_within_cos_vocab,-0.18283616304397582,0.0404085998623535
h6_perevent,cbow_per_event,country_within_cos_wv,0.9373743414878846,0.0030184384354039933
h6_perevent,cbow_per_event,country_within_cos_vocab,0.07064771428704261,0.016094699745958212
h6_perevent,cbow_per_event,region_within_cos_wv,0.8224492192268371,0.008677290065921585
h6_perevent,cbow_per_event,region_within_cos_vocab,0.012797195464372635,0.0008684235371355026
h6_perevent,cbow_per_event,asn_bucket_within_cos_wv,0.9679781556129455,0.0030175654363192275
h6_perevent,cbow_per_event,asn_bucket_within_cos_vocab,-0.0003908372949808836,0.003828835383511024
