calib_size,n_train,scorer,metric,n_seeds,mean,std,min,max
20,60,mp_raw,pr_auc,5,0.887948099765995,0.02553105883938191,0.8516413412570265,0.931778999385937
20,60,mp_raw,roc_auc,5,0.9949751457500001,0.001037846982844315,0.9938460200000001,0.99677671375
20,60,mp_raw,contamination_rate,5,0.012846,0.006892781296399879,0.001495,0.023205
20,60,mp_raw,robust_margin,5,0.06525851964950558,0.007333305930662544,0.058107846975326366,0.07874393463134766
20,60,mp_rank_norm,pr_auc,5,0.224139314838561,0.011084256654453128,0.2070738159646711,0.23576897271116898
20,60,mp_rank_norm,roc_auc,5,0.9735161967500001,0.0015158368283304307,0.97174282,0.97545048125
20,60,mp_rank_norm,contamination_rate,5,0.049790999999999995,0.0012996668803966658,0.04724,0.050905
20,60,mp_rank_norm,robust_margin,5,0.040000000000000036,0.020000000000000018,0.0,0.050000000000000044
20,60,gap(mp_raw-mp_rank_norm),pr_auc,5,0.663808784927434,0.021014257308962156,0.6363531173250099,0.696010026674768
50,90,mp_raw,pr_auc,5,0.9098441762519535,0.03048390289271235,0.8775268869517577,0.9544549188499
50,90,mp_raw,roc_auc,5,0.9960927335,0.0010916466047471052,0.9947533275,0.99753112125
50,90,mp_raw,contamination_rate,5,0.007838000000000001,0.006589577831697567,0.0004,0.016045
50,90,mp_raw,robust_margin,5,0.06566496968269346,0.014681197168577955,0.041372561454772944,0.08334608674049376
50,90,mp_rank_norm,pr_auc,5,0.5109863745783987,0.021614053100435418,0.47742150643547754,0.53822624998481
50,90,mp_rank_norm,roc_auc,5,0.9878362692500001,0.001777628582386961,0.98586171125,0.9904075775
50,90,mp_rank_norm,contamination_rate,5,0.021784000000000005,0.006924895233864552,0.012035,0.02837
50,90,mp_rank_norm,robust_margin,5,0.06800000000000002,0.009797958971132666,0.06000000000000005,0.07999999999999996
50,90,gap(mp_raw-mp_rank_norm),pr_auc,5,0.39885780167355483,0.019411147015975416,0.3686836260114551,0.4246266520468508
100,140,mp_raw,pr_auc,5,0.8609822192814691,0.01964760672491957,0.8283186611611495,0.8791464368454288
100,140,mp_raw,roc_auc,5,0.9933646975,0.00135448879913119,0.99110186,0.9947836649999999
100,140,mp_raw,contamination_rate,5,0.022518,0.007988541543986613,0.012735,0.035905
100,140,mp_raw,robust_margin,5,0.04565305233001709,0.012487276668327985,0.03261544704437255,0.06355136632919312
100,140,mp_rank_norm,pr_auc,5,0.6693868150814384,0.026683983532639788,0.6215731590253007,0.7032286466921429
100,140,mp_rank_norm,roc_auc,5,0.9899412865,0.0010905291089060819,0.9880331325,0.9911919650000001
100,140,mp_rank_norm,contamination_rate,5,0.018311,0.003565363095113877,0.014345,0.024785
100,140,mp_rank_norm,robust_margin,5,0.07400000000000004,0.010198039027185543,0.06000000000000005,0.08999999999999997
100,140,gap(mp_raw-mp_rank_norm),pr_auc,5,0.19159540420003077,0.01258093295683412,0.1759177901532859,0.20674550213584875
200,240,mp_raw,pr_auc,5,0.8789788634362937,0.040825931711983315,0.8314206950815015,0.928414485662438
200,240,mp_raw,roc_auc,5,0.9947711355,0.0020889059304478944,0.99225624125,0.9972666575
200,240,mp_raw,contamination_rate,5,0.016928999999999996,0.013494432703896818,0.00223,0.034405
200,240,mp_raw,robust_margin,5,0.03963238000869752,0.009163466358553893,0.029639011621475225,0.05630249381065369
200,240,mp_rank_norm,pr_auc,5,0.7775114029991382,0.04390949125160897,0.728181035484752,0.8399894451179035
200,240,mp_rank_norm,roc_auc,5,0.9931797695,0.0022673806906011837,0.9902148799999999,0.99608003375
200,240,mp_rank_norm,contamination_rate,5,0.015047,0.006992444922915017,0.005995,0.02488
200,240,mp_rank_norm,robust_margin,5,0.085,0.007071067811865434,0.07500000000000007,0.09499999999999997
200,240,gap(mp_raw-mp_rank_norm),pr_auc,5,0.10146746043715549,0.01042732355315709,0.08842504054453448,0.11692777791814968
500,540,mp_raw,pr_auc,5,0.8722616582242942,0.03627217770063982,0.825087924657568,0.925592050087422
500,540,mp_raw,roc_auc,5,0.9945622847500001,0.002066662217450412,0.99164768125,0.99802807875
500,540,mp_raw,contamination_rate,5,0.018834999999999998,0.014195615168072148,0.00105,0.041175
500,540,mp_raw,robust_margin,5,0.036226680278778046,0.009004548451519063,0.022705107927322353,0.04528208374977104
500,540,mp_rank_norm,pr_auc,5,0.8297909962076897,0.027595883173201427,0.793938865048138,0.8686230079098104
500,540,mp_rank_norm,roc_auc,5,0.9945387692499998,0.001492365246610772,0.99300573125,0.9972471225
500,540,mp_rank_norm,contamination_rate,5,0.008887,0.0025886378657510208,0.005075,0.012025
500,540,mp_rank_norm,robust_margin,5,0.09315999999999998,0.005551792503327202,0.08799999999999997,0.09999999999999998
500,540,gap(mp_raw-mp_rank_norm),pr_auc,5,0.0424706620166045,0.008821938316282328,0.03114905960942993,0.05696904217761156
